G_NUMBER	country	lineage	sublineage	isolation_date	new_id
G04850	Tanzania	L3	L3	19-03-2014	G04850/19-03-2014/1
G04910	Tanzania	L4	L4.3.4.2.1	21-03-2014	G04910/21-03-2014/1
G04911	Tanzania	L3	L3.1.1	25-03-2014	G04911/25-03-2014/1
G36142	Tanzania	L4	L4.3.4.2.1	26-03-2014	G36142/26-03-2014/1
G04997	Tanzania	L1	L1.1.2	04-04-2014	G04997/04-04-2014/1
G04998	Tanzania	L3	L3.1.1	31-03-2014	G04998/31-03-2014/1
G04864	Tanzania	L4	L4.2.2	03-04-2014	G04864/03-04-2014/1
G04999	Tanzania	L3	L3.1.1	09-04-2014	G04999/09-04-2014/1
G04862	Tanzania	L3	L3.1.1	10-04-2014	G04862/10-04-2014/1
G08117	Tanzania	L3	L3.1.1	16-04-2014	G08117/16-04-2014/1
G04866	Tanzania	L4	L4.6.1.2	17-04-2014	G04866/17-04-2014/1
G08228	Tanzania	L4	L4.3.4.2.1	24-04-2014	G08228/24-04-2014/1
G05000	Tanzania	L3	L3.1.1	30-04-2014	G05000/30-04-2014/1
G08118	Tanzania	L3	L3.1.1	30-04-2014	G08118/30-04-2014/1
G08144	Tanzania	L4	L4.3.4.2.1	02-05-2014	G08144/02-05-2014/1
G08227	Tanzania	L3	L3.1.1	02-05-2014	G08227/02-05-2014/1
G08145	Tanzania	L3	L3.1.1	06-05-2014	G08145/06-05-2014/1
G04912	Tanzania	L2	L2.2.1	07-05-2014	G04912/07-05-2014/1
G05001	Tanzania	L4	L4.8	07-05-2014	G05001/07-05-2014/1
G05002	Tanzania	L3	L3.1.1	08-05-2014	G05002/08-05-2014/1
G06484	Tanzania	L4	L4.2.2	08-05-2014	G06484/08-05-2014/1
G08119	Tanzania	L4	L4.3.3	16-05-2014	G08119/16-05-2014/1
G04913	Tanzania	L1	L1.1.2	09-05-2014	G04913/09-05-2014/1
G04315	Tanzania	L1	L1.1.2	16-05-2014	G04315/16-05-2014/1
G08146	Tanzania	L4	L4.3.4.2	21-05-2014	G08146/21-05-2014/1
G21822	Tanzania	L3	L3.1.1	22-05-2014	G21822/22-05-2014/1
G36200	Tanzania	L4	L4.3.4.2.1	23-05-2014	G36200/23-05-2014/1
G08147	Tanzania	L3	L3.1.1	23-05-2014	G08147/23-05-2014/1
G06455	Tanzania	L1	L1.2.2	27-05-2014	G06455/27-05-2014/1
G08104	Tanzania	L1	L1.1.2	29-05-2014	G08104/29-05-2014/1
G04914	Tanzania	L1	L1.2.2	29-05-2014	G04914/29-05-2014/1
G08148	Tanzania	L4	L4.3.4.2.1	29-05-2014	G08148/29-05-2014/1
G04915	Tanzania	L3	L3.1.1	30-05-2014	G04915/30-05-2014/1
G06445	Tanzania	L4	L4.3.4.2	04-06-2014	G06445/04-06-2014/1
G08105	Tanzania	L3	L3.1.1	04-06-2014	G08105/04-06-2014/1
G08218	Tanzania	L2	L2.2.1	06-06-2014	G08218/06-06-2014/1
